"guildID","channelID","zahl"
"1127700588923207750","1127835048687697961",5
"1131544233417908336","1131675670972481577",1
"1126534035791949895","1126534036702113874",21
"1132019174886093030","1132033623223177257",6
"1132042673230987296","1132043632627687544",0
"1104396095674646578","1128386929034010695",344
"1132432839590289500","1132432841708413020",2
"1057780351818281020","1057782916735844423",8
"1132731614355525783","1132770111644762214",14
"1132605437942968390","1132737924698493049",3
"797515422668292167","1133150117218767028",133
"1121427167721558107","1153686578175152158",1
"1126444413489524788","1133719158060748821",2
"1132065151240122388","1133785027554070650",3
"1133807822887452713","1133815536338350170",1
"1133778252662587465","1133778258824003778",512
"1134555435773464608","1134555436931092499",3
"1134390991323930644","1134748969478651914",3
"1048582580611588157","1114522508645912586",20
"1131280863246692352","1131286693593493555",4
"799596949262565417","1135525678834528298",368
"1120674994310098995","1132702274913849455",631
"1107366589180948543","1136405837439582299",1411
"1136985545503952896","1137040869535514674",29
"1089141935442231346","1137073807899771041",29
"1137366051642941522","1137368454224162888",1
"1013858759229055016","1137716042165125140",168
"1056665644789149736","1137801092114161664",12
"913107980063502400","1138264717358551100",131
"1127663049407479908","1129505995048100023",376
"1138774774756151357","1138789663608410153",319
"1137696385647509534","1137699048908918846",1
"1139265036997636226","1139282161225171084",1
"1089221438185144440","1089441115691823135",201
"1131161866723397763","1139829974266814474",1375
"1139913380551987282","1139962640525963344",21
"866075311991947324","1085176607578279967",23
"1140373202967740567","1140610272235634768",0
"1100855891122720801","1141807624548008036",1
"1137781237747040377","1152205436351696896",75
"1113904572692447382","1142416786042650624",28
"1139248789966819529","1140714656231604305",0
"1141071295317024858","1142928215933980803",149
"1142831618319454338","1143166061924057138",145
"1143536804625133683","1143536806529339499",17
"982361151021129819","1139621132799057970",1
"711520994564505650","871140356413071401",3
"1031203267130175559","1147238474664132769",14
"1145444212586860624","1145444213425700974",1
"1137473746135945429","1147486377110421705",1
"1149386282628304916","1149391895848550430",4
"1150038774600962209","1150038777176264777",2
"1136783307925885028","1150318736411201546",1
"1147342274292887562","1150545947248570388",25
"1148919973218107455","1148919973847253025",1
"1151165227195445259","1151388590975238144",32
"1151900597163933726","1152204532500152370",1
"1151748076365684822","1151866106684911707",12
"1129435840301510746","1152832759191064636",1023
"1129825471610241065","1148587365519065150",584
"1148950718015873064","1152987902037463122",18
"1062813655063867524","1153047008576295002",281
"1153207350358982728","1153334007342317638",6
"1154112451017723974","1154112452385054803",0
"1062418691100258365","1097929844135837787",105
"1009805762391986278","1151518818158518282",74
"1155091139402153994","1155210334961930423",102
"1048151617188409396","1139544707626700870",20
"1148651278226948268","1155468694311415858",5163
"1155094119933280276","1155825045021655051",460
"1155768399041921044","1155863528633286829",1
"1138088813198065725","1138088814821261315",0
"1151931930087010314","1156305283937751060",3
"1093312143962681385","1093321222395285594",0
"1148313761388691566","1148313763011903597",1
"680782564616831021","1158769377580171374",0
"1159002873712095262","1159175356075475124",6
"1133869201472364584","1133869202319609950",1
"1119597336381886484","1159872152858787922",18
"1157013487378247781","1160172924846739536",0
"1113064827116589136","1160216535722377228",15
"1160184909059604541","1160187484471312455",1
"1130951538089668749","1159848596900941964",21
"1157439350196424816","1161758886592782449",58
