"guildID","channelID","emoji"
"1138088813198065725","1138088814343102492",<:frog_heart:1154836817158348840>
"1137103688784154654","1151832324061810749",<a:check:730387138381873184> <a:deny:819942197192294440>
"1137103688784154654","1151832324061810749",<a:deny:819942197192294440>
"1142119099309228092","1142125181213626418",<a:SE_Checkyes:1155433551324516452>
"1142119099309228092","1142125181213626418",<a:SE_CrossNo:1155433653397114960>
"1161013942726951066","1161255262133440583",❤️
"1161634391102062682","1161649135527669830",CSP:
"1161634391102062682","1161649135527669830",<:CSP:1161676833696268339>
"1117053462551744615","1162065428336619592",✅
"1133431958064603176","1133431958714712229",✅
"1133431958064603176","1133431958714712228",👍
"1153320944463519835","1153320945130414210",✅
"1153320944463519835","1153320945130414210",❌
"1113860538531848223","1127141752147554304",👍
"1113860538531848223","1127141752147554304",👎
"1113860538531848223","1113860539035160679",moin
"1163922367693717535","1164534613931212810",<:insta_like:1165571546534903889>
"1167117426408833044","1167374266581393459",nice
"1075673166560624700","1075803342531461150",👍
"1075673166560624700","1075803342531461150",👎
"1142119099309228092","1155438697978794016",<:ME_Haken:1167795386191187968>
"1142119099309228092","1155438697978794016",<:ME_Kreuz:1167795409293418506>
