"roleID","label","guildID","id","custom_id"
"1124959083389255690",Ich bin bereit,"1108009982542221382","138","139"
"1124959083389255690",Ich werde da sein,"1108009982542221382","139","140"
"1124959083389255690",Ich werde da sein,"1108009982542221382","140","141"
"1124963609651453994","Nein, ich kenne sie nichtmal","1108009982542221382","140","142"
"1124959083389255690",Ich werde da sein,"1108009982542221382","142","143"
"1124963609651453994","Nein, ich kenne sie nicht","1108009982542221382","142","144"
"1124959459207282728",Ich bin mir sicher,"1108009982542221382","144","145"
"1124963609651453994",Ich bleibe lieber Zuhause,"1108009982542221382","144","146"
"1122135546936958996",Der RP Ping,"1055127396170346587","146","147"
"1122135559163359312",Den Umfragen Ping,"1055127396170346587","146","148"
"1122546906493632616",Contant C Ping,"1055127396170346587","146","149"
"1122135555849867344",Ankündigungs Ping,"1055127396170346587","149","150"
"1122135566729875500",Gang/ Frank Pings,"1055127396170346587","149","151"
"1126183213400862802","Ok, ich ziehe mich schnell um","1108009982542221382","151","152"
"1126183309395886202",Ne ich brauche keinen,"1108009982542221382","151","153"
"1126183213400862802",Ok ich ziehe mich kurz um.,"1108009982542221382","153","154"
"1126183309395886202","Ne, ich brauche keinen.","1108009982542221382","153","155"
"1053090455178457139",**➤ 0 - 12 **,"1052987396666437682","155","156"
"1052987396804845641",**➤ 13 - 15 **,"1052987396666437682","155","157"
"1052987396804845640",**➤ 16 - 18 **,"1052987396666437682","155","158"
"1126609454968877199",English-Ping,"1053033565736161361","158","159"
"1126609812331974706",Deutsch-Ping,"1053033565736161361","158","160"
"1128347517717860484",Fraktionsping,"1128281725013860432","160","161"
"1128347076263153695",Umfragenping,"1128281725013860432","160","162"
"1128347079048171614",Gewinnspielping,"1128281725013860432","160","163"
"1128347516312760340",Updateping,"1128281725013860432","163","164"
"1128347080025456740",Ankündigungsping,"1128281725013860432","163","165"
"1128698387525554197",Ankündigungs Ping,"1126819939152580608","165","166"
"1128698388888698972",Giveaway Ping,"1126819939152580608","165","167"
"1128696550189695077",Update Ping,"1126819939152580608","165","168"
"1114477572374413433",test,"1114475127967584296","168","169"
"1116729486285754451",s,"1062813655063867524","169","170"
"1062813655391023119",sw,"1062813655063867524","169","171"
"1061894327627956295",Admin XD,"1061892417760022549","171","172"
"1061894327627956295",Admin XD,"1061892417760022549","172","173"
"1134113929338036325",Polizei Anwärter,"1133654475987501117","173","174"
"1134858202920529930","","1134802466051997796","174","175"
"1134855649050759210",qwgzdjn,"1134802466051997796","175","176"
"1134858202920529930",Verifizieren,"1134802466051997796","176","177"
"1136245044286849065",On Duty | Start Shift,"1134802466051997796","177","178"
"1135716532773736498",Bayern,"1095133511683411978","178","179"
"1138169193519403099",Regeln Akzeptieren,"1138162747088052254","179","180"
"1138774774823276624",Get a Role,"1138774774756151357","180","181"
"1138774774877782158",Get a Role,"1138774774756151357","180","182"
"1140403851543986226",🔔| News,"1140373202967740567","182","183"
"1140404079328252034",🎁| Gewinnspiel,"1140373202967740567","182","184"
"1140404283410485279",📊| Umfragen,"1140373202967740567","182","185"
"1140363437977899189",Verify Dev,"1000475347407613992","185","186"
"1140363547474415718",Hobby FiveM Dev,"1000475347407613992","185","187"
"1140363396630466703",Hobby Dev,"1000475347407613992","185","188"
"1141761763822542928",Bewerbungs Ping,"1140295539703959686","188","189"
"1141761648907014154",Allgemein Ping,"1140295539703959686","188","190"
"1141761913617915924",Fraktions Ping,"1140295539703959686","188","191"
"1144753270103998515",Fivem zugriff,"1125066301417734176","191","192"
"1138870199186112532",Valorant,"1125066301417734176","192","193"
"1144753270103998515",Fivem,"1125066301417734176","192","194"
"1144949750551031808",Abmelden,"1137266851282423808","194","195"
"1148323206990663880",Deutscher Support,"1143305370027163678","195","196"
"1148323235344171098",Englischer Support,"1143305370027163678","195","197"
"1148323264070951012",Internationaler Support,"1143305370027163678","195","198"
"1134858202920529930",Verify,"1134802466051997796","198","199"
"1079845910181322772",⚠️,"1079844275359060088","199","200"
"1079845910181322772",⚠️,"1079844275359060088","200","201"
"1149318866288246794",Hier Kannst du dir die Ping Rolle Für Gewinnspiele Abholen.,"1143777028055773274","201","202"
"1149318624348217435",Hier Kannst du Dir Die Ping Rolle Für Ankündigungen Holen.,"1143777028055773274","201","203"
"1149318866288246794",Gewinnspiel Rolle,"1143777028055773274","203","204"
"1149318624348217435",Ankündigungs Rolle,"1143777028055773274","203","205"
"1134858202920529930",test,"1134802466051997796","205","206"
"1084048892548624495",Regeln zustimmen,"1063105300783169608","206","207"
"1152358577739141180",On-Duty,"1094612990621388852","207","208"
"1102258810283896935",vulpo,"1094612990621388852","208","209"
"1152359632128462959",Secaurity,"1094612990621388852","208","210"
"1152358577739141180",on-Off Duty,"1094612990621388852","208","211"
"1153004884405264445",Spam-Event,"1120771161870049372","211","212"
"1121738495627628606",Akzeptiren,"1121427167721558107","212","213"
"1130116583738593391","12 - 14 Jahre","1107395425503293532","213","214"
"1129002220986323056",Hast du einen namen ohne rolle? hier ist deine Rolle ohne Namen,"1107395425503293532","214","215"
"1151150484925730826",news,"1145718308222537758","215","216"
"1151150742992859257",events,"1145718308222537758","215","217"
"1150154779876671630","1","1150154779847299155","217","218"
"1160559992580091954",Allgemein Ping,"1159098050694873088","218","219"
"1160560120481202267",Changelog Ping,"1159098050694873088","218","220"
"1160559992580091954",Allgemein Ping,"1159098050694873088","218","221"
"1160559992580091954",Allgemein Ping,"1159098050694873088","221","222"
"1160560120481202267",Changelog Ping,"1159098050694873088","221","223"
"1160559907783839754",Fraktionsupdate Ping,"1159098050694873088","221","224"
"1135604972847890573",test,"1133431958064603176","224","225"
"1138904823283068939",✅,"1137696385647509534","225","226"
"1168887406318075954",» 🎃 | Halloween 2023 «,"1113109061785878532","226","227"
