"userID","guildID","gwID","anzahl"
"1069277258222669834","937398557286228010","1104431055034908792",1
"856110708203061249","937398557286228010","1104431055034908792",0
"981248465436835861","937398557286228010","1104431055034908792",44
"934882772055634010","937398557286228010","1104431055034908792",50
"448078619936423947","937398557286228010","1104431055034908792",1
"791769362835046430","937398557286228010","1104431055034908792",21
"1058776448564998204","1061674451965583420","1104416744300355654",0
"898647713787289612","937398557286228010","1104431055034908792",41
"1028360082561445958","937398557286228010","1104431055034908792",1
"1059900086991204414","937398557286228010","1104431055034908792",0
"961645918325731379","937398557286228010","1104431055034908792",12
"1084548055006728314","1057425944807211050","1103044759699861607",24
"1084548055006728314","1057425944807211050","1103045268884168764",24
"615500048163274776","925729625580113951","1103351668940210309",1
"775433367595909129","1104021295223558286","1104122612629639258",85
"783708073390112830","1104021295223558286","1104122612629639258",100
"915266458588688435","1104021295223558286","1104122612629639258",0
"741462503288078367","1079807502113316896","1104469940150480946",1
"593450283510792213","1079807502113316896","1104469940150480946",0
"593450283510792213","925729625580113951","1104495586469756948",0
"901568371391348797","1079807502113316896","1104469940150480946",0
"937033236608065630","937398557286228010","1104766252662149250",165
"1104173751500812308","937398557286228010","1104766252662149250",200
"451379187031343104","937398557286228010","1104766252662149250",15
"961645918325731379","937398557286228010","1104766252662149250",198
"1053338842532421692","937398557286228010","1104766252662149250",235
"1028360082561445958","937398557286228010","1104766252662149250",59
"1101550599658537071","937398557286228010","1104766252662149250",148
"984184431076053053","937398557286228010","1104766252662149250",241
"934882772055634010","937398557286228010","1104766252662149250",221
"1069277258222669834","937398557286228010","1104766252662149250",39
"1090388174959825031","937398557286228010","1104766252662149250",237
"910530846610583553","937398557286228010","1104766252662149250",210
"981248465436835861","937398557286228010","1104766252662149250",209
"955817562355159090","937398557286228010","1104766252662149250",52
"926922226152915004","937398557286228010","1104766252662149250",166
"1053135796833636422","937398557286228010","1104766252662149250",2
"990969610117468211","937398557286228010","1104766252662149250",125
"799325326491648041","937398557286228010","1104766252662149250",16
"840536020851359754","937398557286228010","1104766252662149250",116
"791769362835046430","937398557286228010","1104766252662149250",77
"1034535616047763598","937398557286228010","1104766252662149250",41
"831181566944084009","937398557286228010","1104766252662149250",51
"775712369484890194","937398557286228010","1104766252662149250",23
"833440209264967700","937398557286228010","1104766252662149250",181
"315050355190792193","937398557286228010","1104766252662149250",218
"937276123946024990","937398557286228010","1104766252662149250",200
"985160666967081041","937398557286228010","1104766252662149250",12
"1080124926486384742","937398557286228010","1104766252662149250",53
"898566507301326868","937398557286228010","1104766252662149250",34
"817758690047950919","937398557286228010","1104766252662149250",126
"714426678407069697","937398557286228010","1104766252662149250",3
"844929675306598440","937398557286228010","1104766252662149250",150
"723941510881738872","937398557286228010","1104766252662149250",13
"589714847869042688","937398557286228010","1104766252662149250",11
"965673666497101986","937398557286228010","1104766252662149250",61
"984488922103025694","937398557286228010","1104766252662149250",73
"1087985020322463764","937398557286228010","1104766252662149250",175
"728287640314708018","937398557286228010","1104766252662149250",33
"917834362270146620","937398557286228010","1104766252662149250",132
"826478564588388392","937398557286228010","1104766252662149250",89
"766021027590832228","1097882210746515566","1104640299503984670",0
"974032346753953832","937398557286228010","1104766252662149250",142
"793553054342971413","937398557286228010","1104766252662149250",101
"1059900086991204414","937398557286228010","1104766252662149250",131
"1077316637574836356","937398557286228010","1104766252662149250",36
"892056874906685510","1104358848724221993","1104536597451505804",79
"892056874906685510","1104358848724221993","1104536980747993160",79
"892056874906685510","1104358848724221993","1104683066166890496",79
"831478931617349684","937398557286228010","1104766252662149250",44
"1091161990489182248","1104358848724221993","1104536597451505804",2
"1091161990489182248","1104358848724221993","1104536980747993160",2
"1091161990489182248","1104358848724221993","1104683066166890496",2
"1077313750392131684","1104358848724221993","1104536597451505804",52
"1077313750392131684","1104358848724221993","1104536980747993160",52
"1077313750392131684","1104358848724221993","1104683066166890496",52
"950002126870937610","937398557286228010","1104766252662149250",3
"963127600631398411","1104358848724221993","1104536597451505804",3
"963127600631398411","1104358848724221993","1104536980747993160",3
"963127600631398411","1104358848724221993","1104683066166890496",3
"431529781180366877","1104358848724221993","1104536597451505804",23
"431529781180366877","1104358848724221993","1104536980747993160",23
"431529781180366877","1104358848724221993","1104683066166890496",23
"303630528920158209","1104358848724221993","1104536597451505804",36
"303630528920158209","1104358848724221993","1104536980747993160",36
"303630528920158209","1104358848724221993","1104683066166890496",36
"1067048095537430670","937398557286228010","1104766252662149250",9
"1067872471614763068","1104358848724221993","1104536597451505804",49
"1067872471614763068","1104358848724221993","1104536980747993160",49
"1067872471614763068","1104358848724221993","1104683066166890496",49
"905491277427146792","937398557286228010","1104766252662149250",13
"1066371479714943039","1097882210746515566","1104640299503984670",1
"878288829361057872","937398557286228010","1104766252662149250",73
"1083438608305881119","937398557286228010","1104766252662149250",82
"1086754428255752383","937398557286228010","1104766252662149250",0
"1014429566779002892","1097882210746515566","1104640299503984670",1
"980558556497592370","937398557286228010","1104766252662149250",49
"1085953182309556264","937398557286228010","1104766252662149250",45
"1058533276987424780","937398557286228010","1104766252662149250",13
"790173044525498378","937398557286228010","1104766252662149250",42
"702139892448362508","937398557286228010","1104766252662149250",23
"1012066314824728706","1097882210746515566","1104640299503984670",7
"1089496907702865940","937398557286228010","1104766252662149250",2
"1103015313223725088","937398557286228010","1104766252662149250",7
"1104808620262183015","937398557286228010","1104766252662149250",0
"1041016894158815244","1104358848724221993","1104536597451505804",1
"1041016894158815244","1104358848724221993","1104536980747993160",1
"1041016894158815244","1104358848724221993","1104683066166890496",1
"944211613878194187","1089141935442231346","1104798135760461937",0
"974674409233211403","1101225748989231147","1104788381541605446",0
"824378909985341451","925729625580113951","1104495586469756948",11
"835782971235368960","925729625580113951","1104495586469756948",31
"1055779916584587305","925729625580113951","1104495586469756948",32
"1001754124926320691","1089141935442231346","1104798135760461937",0
"823906525054763010","1104358848724221993","1104536597451505804",0
"823906525054763010","1104358848724221993","1104536980747993160",0
"823906525054763010","1104358848724221993","1104683066166890496",0
"1021814131864649779","1089141935442231346","1104798135760461937",0
"1012066314824728706","1097882210746515566","1105127800328962088",2
"1077954389513339030","1077954714127315034","1105158549891457056",0
"835782971235368960","925729625580113951","1105525046048465057",6
"767823820903022634","1084192787198640139","1105531418752327831",68
"775770199571693588","925729625580113951","1104495586469756948",0
"775770199571693588","925729625580113951","1105525046048465057",0
"1058080277425049722","1084192787198640139","1105531418752327831",59
"766936089071845426","1084192787198640139","1105531418752327831",77
"634701523779321857","1084192787198640139","1105531418752327831",79
"1041016894158815244","1104358848724221993","1105580943806320691",1
"956578247959805972","1077621434421084280","1105465874128834591",4
"824378909985341451","925729625580113951","1105525046048465057",2
