"userID","zeit","guildID"
"870594412990840852",1964,"998640957211820133"
"919747347112656958",4397,"640536364324093954"
"979480229930209411",1579,"983806829165420596"
"1004804726497476679",580,"983806829165420596"
"906831030915330078",1232,"999561154655440928"
"852903649277378620",701,"998640957211820133"
"826877276226453515",1842,"999561154655440928"
"932669935266713662",1332,"993887751785168906"
"932668912485666906",1324,"968206148413063238"
"913831583868411975",1355,"998640957211820133"
"732136954325499957",863,"998640957211820133"
"709383987432390759",661,"998640957211820133"
"968512882134364231",1430,"998640957211820133"
"331887450135986178",1071,"998640957211820133"
"660100489152561166",1440,"998640957211820133"
"849626348117164082",1760,"983806829165420596"
"941750986551205930",788,"925729625580113951"
"1005234184031318138",1751,"918792098805870592"
"792096088021794866",1350,"967408995809759232"
"981898944017739836",1591,"925729625580113951"
"699922189679591474",1115,"998640957211820133"
"729391639780655114",1105,"977912970417946624"
"925730068221808670",1187,"977912970417946624"
"1004476670280990752",1122,"977912970417946624"
"1013502077810528305",2029,"968206148413063238"
"1011116067067809833",1651,"977912970417946624"
"1012996346388676638",1715,"998640957211820133"
"828646971139948556",508,"968206148413063238"
"789147093029093406",1384,"968206148413063238"
"693108996399431781",1619,"1014116444897804408"
"989617419406422026",1329,"998640957211820133"
"802123814896664577",1648,"1003577766173753374"
"869268801194196994",1280,"1003577766173753374"
"1001826064189902989",1548,"1003577766173753374"
"828912418570108939",506,"1003577766173753374"
"845694254160543764",2039,"1003577766173753374"
"693523513792790648",1541,"1014116444897804408"
"947529541834903582",2148,"1019243091267424287"
"695380640312459416",634,"968206148413063238"
"874966618965413908",1244,"999561154655440928"
"891631500401975316",532,"1003577766173753374"
"788727547344846849",1869,"1003577766173753374"
"920142997725786153",2090,"1020719124478968019"
"998270798114603018",2274,"998640957211820133"
"940623992333692968",2173,"993887751785168906"
"722733221401460806",1723,"1021766119440257044"
"890653069736566794",1366,"1021766119440257044"
"796423581009051649",3001,"1021766119440257044"
"708260801760198746",831,"1021766119440257044"
"953361295976054786",1663,"960991044302946354"
"978259343252267048",2376,"999561154655440928"
"898563606877208607",1331,"998640957211820133"
"834696715436032042",4759,"960991044302946354"
"577200261668274180",1303,"999561154655440928"
"960791859091869716",1866,"983806829165420596"
"993187056312389702",1580,"998640957211820133"
"817782993489756250",1026,"998640957211820133"
"931795662704615444",1774,"949612614466535424"
"960835344209678347",1451,"960991044302946354"
"920352224150974484",2470,"960991044302946354"
"393146666695262218",1699,"655800065226440725"
"962784016145199195",2469,"1047228829866938480"
"886950607787819048",2099,"975118914667315302"
"699219409922818054",1778,"975118914667315302"
"977483570337705984",1126,"975118914667315302"
"812992994293579786",1079,"975118914667315302"
"950066652953841715",1702,"975118914667315302"
"888801873220485171",859,"975118914667315302"
"802804417912897536",1375,"975118914667315302"
"697051896187453491",1436,"975118914667315302"
"921849241029189663",2023,"975118914667315302"
"888107693368307755",13886,"975118914667315302"
"1000129810795872366",2329,"1096139477983965347"
"1093824028877279282",2219,"1034903696271753266"
"1043559029072462074",1891,"1061674451965583420"
"1058776448564998204",1480,"1061674451965583420"
"906574383135465473",2120,"1072523029046886470"
"1066371479714943039",1503,"1097882210746515566"
"941998396934340619",2398,"994332164768403596"
"213802701283262465",1562,"1034903696271753266"
"823906525054763010",2317,"1047228829866938480"
"1057349096349896834",4420,"1096139477983965347"
"861164825308037141",2391,"1057425944807211050"
"925431267921633340",1793,"1057425944807211050"
"812384003516137562",1494,"1057425944807211050"
