"anzahl","userID","gwID","guildID"
3,"981474299036725268","1007339878478000221","957242463284764732"
6,"731898611658522665","1007339878478000221","957242463284764732"
1,"771417770385473556","1007339878478000221","957242463284764732"
18,"758310062312914974","1009031743308828712","973289734057132092"
3,"780046923712823317","1010633809600979044","993465450484731925"
3,"510924791272964096","1009031743308828712","973289734057132092"
2,"455037048299061268","1009031743308828712","973289734057132092"
12,"1010543144909144074","1009031743308828712","973289734057132092"
1,"824378909985341451","1011234702935466105","925729625580113951"
10,"1007682812213731369","1009031743308828712","973289734057132092"
1,"679706007219339376","1011234702935466105","925729625580113951"
3,"943500250306478100","1009031743308828712","973289734057132092"
2,"920350440837759046","1009031743308828712","973289734057132092"
1,"1004574265766580275","1009031743308828712","973289734057132092"
5,"1008975489962082374","1009795213285400666","996846430834659388"
1,"850397884792045648","1009795213285400666","996846430834659388"
11,"963303356443529246","1011635408242753576","964485182637871104"
2,"792484163684532274","1011635408242753576","964485182637871104"
1,"824378909985341451","1011704884074127430","925729625580113951"
353,"841215181857751071","1011964609139331082","903725994907693096"
3710,"809739434537910283","1011964609139331082","903725994907693096"
115,"666063593162145816","1011964609139331082","903725994907693096"
1,"602846728147959808","1011964609139331082","903725994907693096"
12,"738341276478341132","1011964609139331082","903725994907693096"
3698,"809739434537910283","1011966074251661403","903725994907693096"
463,"815884098693496892","1011964609139331082","903725994907693096"
463,"815884098693496892","1011966074251661403","903725994907693096"
112,"666063593162145816","1011966074251661403","903725994907693096"
11,"738341276478341132","1011966074251661403","903725994907693096"
1108,"1007658383299596308","1011964609139331082","903725994907693096"
1108,"1007658383299596308","1011966074251661403","903725994907693096"
392,"733401144159895703","1011964609139331082","903725994907693096"
392,"733401144159895703","1011966074251661403","903725994907693096"
796,"745171643042889799","1011964609139331082","903725994907693096"
796,"745171643042889799","1011966074251661403","903725994907693096"
38,"827641514628612097","1011964609139331082","903725994907693096"
38,"827641514628612097","1011966074251661403","903725994907693096"
139,"814233207515643974","1011964609139331082","903725994907693096"
139,"814233207515643974","1011966074251661403","903725994907693096"
3,"991658451254136884","1011964609139331082","903725994907693096"
3,"991658451254136884","1011966074251661403","903725994907693096"
24,"941750986551205930","1011964609139331082","903725994907693096"
24,"941750986551205930","1011966074251661403","903725994907693096"
389,"432143286040264705","1011964609139331082","903725994907693096"
389,"432143286040264705","1011966074251661403","903725994907693096"
1,"807440483621666854","1011964609139331082","903725994907693096"
1,"807440483621666854","1011966074251661403","903725994907693096"
1838,"933784599530725436","1011964609139331082","903725994907693096"
1838,"933784599530725436","1011966074251661403","903725994907693096"
3,"567602052436459520","1011964609139331082","903725994907693096"
3,"567602052436459520","1011966074251661403","903725994907693096"
2,"1000753796290457740","1011964609139331082","903725994907693096"
2,"1000753796290457740","1011966074251661403","903725994907693096"
325,"621766518509928448","1011964609139331082","903725994907693096"
325,"621766518509928448","1011966074251661403","903725994907693096"
5,"619945506428289041","1011964609139331082","903725994907693096"
5,"619945506428289041","1011966074251661403","903725994907693096"
11,"455146103755636739","1011964609139331082","903725994907693096"
11,"455146103755636739","1011966074251661403","903725994907693096"
98,"603953653493137438","1011964609139331082","903725994907693096"
98,"603953653493137438","1011966074251661403","903725994907693096"
352,"841215181857751071","1011966074251661403","903725994907693096"
1,"988827532793090068","1011964609139331082","903725994907693096"
1,"988827532793090068","1011966074251661403","903725994907693096"
221,"830552140149686303","1011964609139331082","903725994907693096"
221,"830552140149686303","1011966074251661403","903725994907693096"
77,"795649762183348245","1012042513885958144","931905307314114641"
46,"782276733616783390","1012042513885958144","931905307314114641"
85,"756257310531125381","1011964609139331082","903725994907693096"
85,"756257310531125381","1011966074251661403","903725994907693096"
1,"793214743267377212","1011964609139331082","903725994907693096"
1,"793214743267377212","1011966074251661403","903725994907693096"
33,"847032613327470593","1012042513885958144","931905307314114641"
7,"720660271903014993","1012042513885958144","931905307314114641"
68,"983754168978268180","1011964609139331082","903725994907693096"
68,"983754168978268180","1011966074251661403","903725994907693096"
4,"770223395035283466","1011964609139331082","903725994907693096"
4,"770223395035283466","1011966074251661403","903725994907693096"
2,"868852479176101939","1011964609139331082","903725994907693096"
2,"868852479176101939","1011966074251661403","903725994907693096"
354,"948565546742452284","1012256052202438686","948595942448320653"
1,"923901483609624577","1012256052202438686","948595942448320653"
19,"825400094936530975","1012256052202438686","948595942448320653"
8,"952173663233392650","1012256052202438686","948595942448320653"
19,"845694254160543764","1012256052202438686","948595942448320653"
272,"805180370260983858","1012256052202438686","948595942448320653"
30,"1008975489962082374","1012256052202438686","948595942448320653"
1,"780851292645490729","1011964609139331082","903725994907693096"
1,"780851292645490729","1011966074251661403","903725994907693096"
39,"525974888750645249","1012256052202438686","948595942448320653"
26,"763809629905616906","1012256052202438686","948595942448320653"
3,"723777194458873958","1012256052202438686","948595942448320653"
6,"406759673673285632","1012256052202438686","948595942448320653"
4,"723619043445309461","1012256052202438686","948595942448320653"
4,"932676400765353985","1012256052202438686","948595942448320653"
12,"825356432319840277","1012256052202438686","948595942448320653"
9,"472027287236378624","1011964609139331082","903725994907693096"
9,"472027287236378624","1011966074251661403","903725994907693096"
19,"759808928031703110","1012256052202438686","948595942448320653"
59,"1007567826921455626","1012256052202438686","948595942448320653"
4,"954659489670393879","1012256052202438686","948595942448320653"
1,"973349402867548202","1011964609139331082","903725994907693096"
1,"973349402867548202","1011966074251661403","903725994907693096"
1,"973052754543120404","1011964609139331082","903725994907693096"
1,"973052754543120404","1011966074251661403","903725994907693096"
1,"973350372808745010","1011964609139331082","903725994907693096"
1,"973176932810252307","1011964609139331082","903725994907693096"
1,"973350372808745010","1011966074251661403","903725994907693096"
1,"973176932810252307","1011966074251661403","903725994907693096"
1,"973353375972331560","1011964609139331082","903725994907693096"
1,"973353375972331560","1011966074251661403","903725994907693096"
1,"973099069490741278","1011964609139331082","903725994907693096"
1,"973099069490741278","1011966074251661403","903725994907693096"
1,"973045283858550825","1011964609139331082","903725994907693096"
1,"973045283858550825","1011966074251661403","903725994907693096"
10,"501827585806827520","1011964609139331082","903725994907693096"
10,"501827585806827520","1011966074251661403","903725994907693096"
23,"1006952353649393854","1012256052202438686","948595942448320653"
285,"934790682793607199","1012256052202438686","948595942448320653"
26,"827215939560669254","1012256052202438686","948595942448320653"
1,"596773956707549184","1012256052202438686","948595942448320653"
17,"930106233971679252","1011964609139331082","903725994907693096"
17,"930106233971679252","1011966074251661403","903725994907693096"
5,"785059784604778496","1011964609139331082","903725994907693096"
5,"785059784604778496","1011966074251661403","903725994907693096"
52,"915266458588688435","1012256052202438686","948595942448320653"
1,"1010979014766231695","1012256052202438686","948595942448320653"
1,"748612259420569625","1012256052202438686","948595942448320653"
10,"469461861386027029","1011964609139331082","903725994907693096"
10,"469461861386027029","1011966074251661403","903725994907693096"
2,"752215239684259920","1012256052202438686","948595942448320653"
