"guildID","userID","anzahl"
"996032349638774877","977575918216302622",142
"993465450484731925","936623166581772398",25
"993465450484731925","970176277724143696",29
"993465450484731925","678344927997853742",52
"996032349638774877","997928770122022945",582
"964960515552059442","302050872383242240",6
"964960515552059442","735147814878969968",9
"913529131931664475","991992485339467846",30
"996032349638774877","868527841812299846",114
"960281078898249729","751151926959276050",30
"882684482551943178","935138484283392000",129
"753556676459888680","302050872383242240",2
"753556676459888680","735147814878969968",3
"916429769007067157","976145605661437993",6
"916429769007067157","986951913515929712",85
"996032349638774877","796814931831160834",9
"973289734057132092","994213113492672592",2
"989961082833608795","983754168978268180",2
"943483956664356894","840988884144881734",2
"989961082833608795","941750986551205930",378
"916429769007067157","767740968963145778",1
"963541530533036042","729706332503932928",28
"996032349638774877","705805758125834241",16
"971687547266822145","971694542715777034",11
"951776421355868231","302050872383242240",6
"951776421355868231","764157181285105685",2
"933706031517802536","957223615458336829",5
"925729625580113951","837044499346620448",3
"965566481322606592","941750986551205930",97
"996032349638774877","701813696413827142",12
"960991044302946354","953361295976054786",6
"833025915872608276","807249310630674455",1
"846400053043003462","268478587651358721",5
"833025915872608276","967483258109558795",88
"833025915872608276","159985870458322944",32
"857546239368101888","931879231280013353",3
"916429769007067157","934748313654296647",3
"857546239368101888","949743110437625886",3
"676115729124425737","268478587651358721",26
"916429769007067157","939967712837390426",3
"987049442706325514","925799559576322078",2
"987049442706325514","159985870458322944",1
"925729625580113951","858292829481467905",11
"925729625580113951","618805150756110336",6
"990341129914445834","835782971235368960",7
"990341129914445834","991054053419130980",3
"996032349638774877","408785106942164992",251
"803697848163631105","526480919364763693",18
"803697848163631105","802559599562719292",7
"956229444761161758","840880565656879104",11
"956229444761161758","368521195940741122",11
"956229444761161758","996529199160496179",56
"997495642823872654","990667106142011412",3
"956229444761161758","966870720183402567",48
"956229444761161758","998557310437822504",14
"949792223766142996","756288952146853968",12
"836132315809316878","678344927997853742",1
"951776421355868231","925799559576322078",26
"973289734057132092","995696668076945428",13
"753556676459888680","998985364578513008",2
"753556676459888680","968619522091278436",2
"990137144041406474","829684394657972246",2
"996032349638774877","692045914436796436",93
"947095698426433616","862739194823704580",2
"916429769007067157","625243466406035477",32
"989961082833608795","797124271914483723",86
"916429769007067157","368521195940741122",78
"977632897840349204","678344927997853742",30
"882684482551943178","772156551019626556",142
"913529131931664475","963399861485572096",4
"971441719222599720","159985870458322944",8
"990137144041406474","989197832491790396",4
"996032349638774877","765868427725897730",22
"990137144041406474","866552379083980810",2
"951776421355868231","776464442816462898",41
"951776421355868231","814998827064492092",9
"957126049945235547","973636056836603914",32
"957126049945235547","408785106942164992",1
"957126049945235547","956316583838498836",3
"996032349638774877","618089080756109338",17
"951776421355868231","327462835615432726",28
"996032349638774877","854340159096750090",68
"916429769007067157","430728686665465866",5
"966811756376776724","285033026667282433",1
"916429769007067157","497052369163517953",2
"925729625580113951","989404318086094898",52
"966811756376776724","678344927997853742",416
"966811756376776724","989887644299296798",15
"966811756376776724","645368429166985228",1
"780795069513990155","925799559576322078",5
"979801162851155988","980217475721482301",1
"780795069513990155","720700352730497155",5
"780795069513990155","512079641981353995",6
"947095698426433616","159985870458322944",4
"966811756376776724","960957755378786354",1
"947095698426433616","1000082419430469755",23
"916429769007067157","947202796837535784",3
"916429769007067157","942112620109000816",5
"994332164768403596","559426966151757824",3
"971441719222599720","994230518503702548",12
"996032349638774877","935241618213204008",21
"997495642823872654","829401421794377728",13
"957126049945235547","437808476106784770",2
"994332164768403596","1000403002101878795",1
"994332164768403596","1000403235825262623",1
"951776421355868231","727907754739761153",1
"956229444761161758","889552717616406618",1
