"guildID","msgID","role","categoryID","archivID"
"925729625580113951","969922202550038588","942409310867177532","942386781783982090","942481706215174204"
"925729625580113951","969924007195443251","942409310867177532","942386781783982090","942481706215174204"
"925729625580113951","969924323152379925","942409310867177532","942386781783982090","942481706215174204"
"933706031517802536","969924712329273394","953558714584031292","935897484952231958","947582133394878474"
"925729625580113951","969927046539149362","942409310867177532","942386781783982090","942481706215174204"
"933706031517802536","969927163686043668","953558714584031292","935897484952231958","947582133394878474"
"943483956664356894","969956041011888209","967042723574087690","943573712647643186","943491280271446056"
"925729625580113951","970031621635993640","925737886400266260","934190742564393001","934190742564393001"
"918191764312051793","970287665654136853","937008377303814174","951801240491270194","951801240491270194"
"937295768908353577","970352069322113075","938861529971961937","948906668555632640","948906668555632640"
"937295768908353577","970394361584042034","938861529971961937","948906668555632640","948906668555632640"
"941035429203968062","970421046513664060","941035429262680069","941035429292036169","941035429292036169"
"941035429203968062","970421772170170368","941035429203968069","941035430218956848","941035429292036169"
"966811756376776724","970655283468701738","968115390788030504","967163277203353641","967161222283800576"
"970706615441449020","971026800744468540","970718982246105168","970719199209091082","970719199209091082"
"970706615441449020","971027155985264694","970718982246105168","970719199209091082","970719199209091082"
"970706615441449020","971071220382584842","970718982246105168","970719199209091082","970719199209091082"
"970706615441449020","971071501195436142","970718982246105168","970719199209091082","970719199209091082"
"970706615441449020","971071830259560458","970718982246105168","970719199209091082","970719199209091082"
"970706615441449020","971072122938069012","970718982246105168","970719199209091082","970719199209091082"
"970706615441449020","971072344858693682","970718982246105168","970719199209091082","970719199209091082"
"970706615441449020","971072575197311026","970718982246105168","970719199209091082","970719199209091082"
"971122193918476298","971147131350048768","971145287655641148","971144729414758440","971144729414758440"
"971122193918476298","971147311369584690","971145287655641148","971144729414758440","971144729414758440"
"971122193918476298","971147455347437648","971145287655641148","971144729414758440","971144729414758440"
"875338422800224257","971729436443549696","875339098078998569","875410475595210844","875363272033984572"
"968162980946673756","971729839767826472","968162981303177329","968162982586622113","971729444932825218"
"967509883727527956","972054497201373194","972045577779048458","972045580958330890","971838317261914172"
"966811756376776724","972515298211147786","968115390788030504","967163277203353641","970656828759351306"
"957570280526585886","972588888856096818","969665688950149142","965005120402235422","965005120402235422"
"957570280526585886","972589266918080512","957600895028326400","965005120402235422","965005120402235422"
"957570280526585886","972589623236755526","969655003407089724","965005120402235422","965005120402235422"
"966978675251744779","972971095114260480","966978676078022659","972960893820370974","972960893820370974"
"966978675251744779","972971330901254205","966978676078022659","972960893820370974","972960893820370974"
"966978675251744779","972971743662702632","966978676078022659","972960893820370974","972960893820370974"
"973267734597087272","973280805487017984","973279815446695996","973268377462276137","973268377462276137"
"966978675251744779","973599336258752552","973142352094982194","972960893820370974","972961864839495680"
"966978675251744779","973608943563722792","966978676078022656","973608898013564958","973608623353790474"
"966978675251744779","973609216956846171","966978676078022656","973608898013564958","973608623353790474"
"966978675251744779","973609422112845934","966978676078022656","973608898013564958","973608623353790474"
"676115729124425737","974281284576739398","926962774297423882","968500217156599849","967835864531083324"
"676115729124425737","974282628045873182","926962774297423882","968500217156599849","967835864531083324"
"918191764312051793","974395442076995584","918223120760995923","920370214334513252","920370214334513252"
"918191764312051793","974396164793327646","918223120760995923","951801240491270194","951801240491270194"
